lng,lat,bioclim1,bioclim12,bioclim15,bioclim4,dist_to_water_m,elev_m,disease,theta
-7.3212507,5.095417,255,2076,43,886,2556,179,SM,0.034873241
-7.1129174,6.970417,257,1422,62,979,2100,238,SM,0.073586878
-6.5962507,5.3287503,260,1477,60,901,936,83,SM,0.703016667
-3.2045841,7.1120837,265,1193,62,1134,4226,215,SM,0.011854311
-7.2712507,8.995417,258,1395,78,1227,2709,369,SM,0.008199051
-7.8045841,6.6370837,256,1734,61,972,554,296,SM,0.020057119
-6.6462507,4.7787504,260,1398,84,939,861,9,SM,0.83959218
-4.5627,5.3158,268,1702,93,1042,1180,44,SM,0.016622769
-5.4629174,9.670417,267,1253,84,1425,3561,327,SM,0.028543049
-6.0379174,7.445417,266,1195,59,1071,1086,198,SM,0.254536862
-7.0629174,7.2537503,255,1384,62,967,895,230,SM,0.06161455
-8.0629174,9.7287503,259,1512,90,1484,5929,425,SM,0.011960308
-6.8879174,7.195417,254,1350,60,999,7191,272,SM,0.044025757
-3.99887,5.41094,262,1790,83,1095,3563,105,SM,0.068414359
-3.5045841,7.870417,271,1060,60,1219,675,191,SM,0.025180767
-4.6629174,6.2620837,270,1188,55,1051,3433,85,SM,0.563286088
-7.9379174,7.2287503,250,1881,65,918,10448,349,SM,0.045738471
-5.01544,5.26946,268,1588,87,1034,4628,52,SM,0.051028396
-4.5629174,6.595417,272,1141,56,1081,1608,121,SM,0.10693608
-3.6129174,8.3037503,268,1074,63,1290,1653,282,SM,0.014505351
-8.0045841,9.795417,260,1497,92,1497,484,399,SM,0.00916804
-5.9879174,9.6620837,267,1283,87,1409,3853,347,SM,0.004535605
-5.8295841,9.1370837,262,1257,78,1333,999,400,SM,0.022948992
-4.82194,6.42518,270,1139,55,1084,7456,119,SM,0.248475411
-5.5879174,9.6120837,267,1275,84,1420,4772,358,SM,0.021970738
-2.9879174,8.920417,265,1096,70,1429,1020,306,SM,0.10841889
-3.5879174,6.595417,267,1298,58,1080,3746,147,SM,0.027030055
-3.6795841,7.0870837,269,1135,61,1129,2502,171,SM,0.030765262
-7.0962507,9.0787503,260,1391,80,1270,622,358,SM,0.007765574
-4.58122,5.6454,266,1514,68,1041,3252,96,SM,0.500114837
-2.9629174,8.4287503,259,1114,64,1341,4269,388,SM,0.024211742
-4.2295841,6.3287503,269,1273,58,1057,6606,98,SM,0.17513195
-3.7712507,5.2370837,266,1906,89,1041,538,7,SM,0.033004392
-6.7212507,4.8537503,260,1422,77,941,3556,45,SM,0.860242624
-4.07128,5.35862,262,1765,86,1074,1642,74,SM,0.021730425
-6.25621,10.15359,268,1233,94,1556,1318,349,SM,0.01084396
-5.9629174,6.7037503,260,1289,51,998,271,239,SM,0.207970359
-4.2045841,7.5537503,272,1077,63,1103,2517,176,SM,0.086944205
-6.5295841,5.2620837,258,1473,62,883,1834,130,SM,0.473984784
-5.6462507,6.1870837,258,1339,48,954,4622,251,SM,0.122517281
-3.9879174,5.3787503,262,1790,83,1095,5923,86,SM,0.021394101
-5.1462507,6.145417,264,1282,52,1006,3784,158,SM,0.846164685
-8.1712507,7.0620837,255,1913,64,893,7274,282,SM,0.032775422
-7.6379174,9.820417,261,1440,92,1548,2727,391,SM,0.05083998
-4.9629174,9.645417,264,1206,80,1405,2678,348,SM,0.186050933
-4.0629174,5.4370837,260,1726,76,1102,1357,105,SM,0.045343422
-3.3962507,9.0620837,263,1115,70,1400,7412,362,SM,0.149491849
-6.2629174,6.4870837,258,1359,49,928,1402,258,SM,0.277915085
-6.907,8.26843,254,1303,68,1083,846,378,SM,0.013919493
-6.6045841,8.8037503,259,1342,75,1174,2860,393,SM,0.01458898
-3.99628,5.3925,262,1790,83,1095,4735,95,SM,0.012026568
-2.98785,7.84016,266,1106,61,1285,434,249,SM,0.011753502
-5.2379174,5.620417,267,1423,61,978,1153,67,SM,0.671506687
-6.07769,7.81133,264,1171,62,1074,6489,291,SM,0.039579875
-3.2962507,6.195417,265,1509,55,1104,7873,163,SM,0.037241675
-7.0379174,8.6120837,258,1338,73,1153,665,336,SM,0.009487815
-2.8629174,5.595417,265,1819,56,1057,4644,102,SM,0.025750101
-7.4045841,9.0787503,257,1413,80,1239,2962,416,SM,0.00808454
-6.3295841,5.295417,261,1451,73,907,763,84,SM,0.854673527
-6.7129174,5.395417,257,1530,53,881,1341,164,SM,0.254944679
-2.8379174,9.170417,266,1099,73,1442,1250,234,SM,0.152298204
-6.1962507,9.3287503,263,1353,83,1317,913,370,SM,0.007314444
-5.5295841,5.5620837,260,1498,64,931,2350,176,SM,0.383911841
-5.1462507,8.7037503,268,1077,71,1218,607,286,SM,0.039685343
-3.9629174,5.295417,267,1838,92,1060,400,6,SM,0.015026928
-6.4629174,8.3287503,259,1260,67,1106,550,319,SM,0.029265298
-4.85071,6.66213,270,1100,56,1089,3448,110,SM,0.04172281
-7.2379174,6.745417,257,1486,61,990,1803,233,SM,0.060554305
-4.1212507,6.245417,270,1320,57,1061,2361,92,SM,0.137551934
-5.38191,10.17716,268,1150,95,1521,4699,340,SM,0.438624934
-7.3295841,6.1287503,258,1663,57,949,7367,220,SM,0.10932724
-6.8212507,8.5370837,257,1317,72,1131,5759,400,SM,0.019906517
-3.5545841,9.8620837,270,1112,82,1552,4645,495,SM,0.366378141
-3.9045841,6.1787503,265,1389,58,1081,1800,118,SM,0.077510463
-3.96316,5.30748,267,1838,92,1060,304,4,SM,0.011486728
-7.7462507,8.1620837,246,1440,69,989,1480,530,SM,0.087716565
-5.8212507,8.2620837,263,1158,67,1123,3133,333,SM,0.036121946
-5.5045841,6.7287503,261,1239,54,1048,6796,202,SM,0.106914931
-7.7545841,7.7620837,244,1628,67,980,3264,512,SM,0.043533551
-5.5712507,8.6370837,268,1125,71,1216,1397,274,SM,0.032171132
-5.8629174,6.870417,264,1295,53,1036,1414,216,SM,0.124895731
-6.7129174,8.270417,257,1281,68,1089,2136,350,SM,0.028196781
-8.1295841,7.0370837,254,1894,64,899,4333,294,SM,0.010971335
-4.2712507,7.9370837,274,1073,62,1154,4226,186,SM,0.556333031
-6.1212507,8.0787503,261,1206,65,1075,4330,311,SM,0.026880775
-3.4462507,8.545417,268,1081,65,1323,604,250,SM,0.013579619
-6.3962507,9.4620837,263,1398,86,1357,366,373,SM,0.005075848
-4.64043,6.61349,273,1138,56,1100,996,89,SM,0.098732386
-4.02006,5.41832,260,1726,76,1102,1110,114,SM,0.019027708
-6.1379174,7.9370837,261,1200,63,1085,7601,338,SM,0.077093065
-7.1295841,9.2620837,261,1405,82,1353,710,351,SM,0.007109635
-3.6045841,9.7370837,270,1114,79,1526,9962,395,SM,0.588628463
-4.9712507,7.9037503,269,1091,61,1064,1770,266,SM,0.168507731
-7.0129174,7.8870837,256,1325,65,1012,6575,286,SM,0.040951406
-5.39547,9.34381,267,1215,78,1359,2444,322,SM,0.075270308
-5.2295841,8.7787503,265,1091,72,1246,872,336,SM,0.051239568
-4.0504,5.50071,263,1677,67,1105,5238,74,SM,0.022045536
-5.6212507,10.195417,268,1173,95,1531,362,333,SM,0.011826278
-4.05864,5.33625,262,1765,86,1074,818,48,SM,0.170878287
-7.3212507,9.3370837,259,1428,83,1394,294,382,SM,0.009487547
-7.1629174,8.9370837,260,1380,78,1222,2279,347,SM,0.010638213
-4.0629174,5.370417,262,1765,86,1074,936,76,SM,0.026562506
-3.49616,6.74135,264,1312,59,1086,5529,184,SM,0.023167336
-4.32082,5.2497,267,1780,99,1022,409,11,SM,0.018406126
-3.2379174,9.695417,274,1116,78,1512,4267,339,SM,0.130548608
-5.0629174,7.8287503,266,1103,59,1054,7424,305,SM,0.285804513
-7.2795841,9.695417,259,1390,87,1518,3000,424,SM,0.038997555
-6.22142,10.4135,269,1251,96,1614,4032,341,SM,0.008238778
-6.5295841,5.6370837,262,1479,48,894,1222,113,SM,0.677304992
-4.0212507,7.745417,269,1073,61,1141,2705,218,SM,0.04083281
-4.0629174,5.320417,267,1790,94,1055,2017,26,SM,0.021728936
-8.47644,6.4751,257,1849,60,865,2212,270,SM,0.015551737
-3.5295841,8.6620837,270,1078,66,1334,2607,232,SM,0.014740819
-6.6879174,8.6620837,258,1318,73,1129,2639,383,SM,0.01742253
-7.3212507,4.5620837,256,2097,58,784,325,28,SM,0.222260462
-3.31703,6.29363,265,1479,55,1074,3139,162,SM,0.026962286
-7.3462507,10.195417,264,1291,97,1685,818,382,SM,0.020684111
-3.4879174,6.8620837,264,1251,60,1100,3699,223,SM,0.011279803
-6.7045841,5.0870837,260,1477,64,926,3129,62,SM,0.738969555
-5.1129174,8.820417,267,1081,71,1254,3596,316,SM,0.02832146
-3.2545841,5.5370837,264,1799,61,1086,685,113,SM,0.013856003
-6.09823,7.66952,262,1188,61,1090,4514,244,SM,0.653377599
-3.1795841,8.945417,265,1105,69,1407,443,283,SM,0.047493683
-7.1129174,7.0620837,256,1425,62,967,7574,240,SM,0.13001165
-3.97678,5.27874,267,1838,92,1060,902,5,SM,0.012801946
-6.3212507,7.6787503,260,1209,61,1045,3976,323,SM,0.208376117
-4.2212507,5.820417,267,1510,58,1082,5161,45,SM,0.108631284
-4.4462507,5.395417,265,1692,86,1059,4049,91,SM,0.025809948
-8.03414,8.25502,242,1564,67,1007,7133,542,SM,0.113021705
-4.4962507,5.9370837,268,1347,57,1047,5387,71,SM,0.583268042
-3.97223,5.27144,267,1838,92,1060,391,4,SM,0.012450269
-5.5379174,7.870417,271,1085,64,1105,4353,237,SM,0.047187529
-7.5545841,6.7870837,257,1591,63,974,1389,233,SM,0.055260867
