"lng","lat","bioclim1","bioclim12","bioclim15","bioclim4","dist_to_water_m","elev_m","disease","theta"
122.5370821,10.9870837,270,2124,47,729,4290,72,"LF",0.00105087330562996
121.9287488,18.070417,260,2135,73,1766,376,86,"LF",0.0084488522990119
125.9120821,8.5287503,265,3523,34,739,446,31,"LF",0.00446836419437518
121.1287488,14.545417,272,2213,80,1094,1493,5,"LF",0.00165615304260301
125.5537487,7.0870837,265,1994,28,401,2393,55,"LF",0.00532601994685515
123.4287488,13.4870836,257,2608,46,945,6434,106,"LF",0.0010157634776678
124.6870821,8.3120837,240,2312,43,497,1530,420,"LF",0.0326283220260126
121.1204154,14.5787503,272,2213,80,1094,288,10,"LF",0.00207149280823057
121.1120821,12.6037503,263,2762,78,715,408,128,"LF",0.00197357368904142
125.7037487,7.5870837,267,2293,14,501,190,22,"LF",0.00562330714162056
120.3287488,14.8287503,272,3378,115,898,1467,160,"LF",0.0054198302138198
121.0704154,14.795417,269,2641,86,1086,2237,85,"LF",0.00271055974799093
120.6037488,15.470417,272,2053,92,1043,2704,46,"LF",0.00310377617550607
121.0620821,14.670417,270,2503,89,1094,3084,56,"LF",0.00189860656570472
124.7870821,6.795417,272,1838,37,380,765,10,"LF",0.00462534326146037
121.1742103,13.3528745,272,1980,45,894,4418,9,"LF",0.000665860454116811
120.0620821,15.1537503,273,3423,114,850,169,17,"LF",0.00355983349431082
124.2287488,7.745417,235,2870,33,338,4289,802,"LF",0.12293241940194
121.0870821,14.745417,268,2649,81,1082,914,96,"LF",0.00341614386225137
124.7287487,11.020417,242,2383,30,598,1193,647,"LF",0.0554542658357402
126.0537487,7.8287503,263,2892,37,528,922,56,"LF",0.00596343414058843
120.6037488,15.8037503,273,1795,86,1096,1838,25,"LF",0.00370150577134703
120.7120821,15.4537503,272,1969,91,1065,1536,22,"LF",0.00309961971426731
124.4954154,6.9037503,272,2013,34,338,2558,17,"LF",0.00344856991376764
123.9537488,10.3787503,274,1566,39,697,1262,29,"LF",0.00198119336610186
125.5870821,7.870417,256,2520,16,505,162,87,"LF",0.00763464114700757
120.8954154,15.8787503,267,1801,79,1123,12662,145,"LF",0.0014879718545539
125.7204154,8.120417,258,2852,14,605,1793,107,"LF",0.00640942327197552
119.9370821,16.0620836,270,3048,105,903,372,24,"LF",0.00596247217141559
124.2370821,13.5870836,257,3561,50,859,4151,4,"LF",0.000711112968676957
124.2954154,8.2287503,260,2928,60,500,2257,90,"LF",0.004394259637123
125.9870821,7.7037503,259,2623,29,494,1966,90,"LF",0.0064285669747798
124.9537487,7.6870837,253,2529,43,423,1202,289,"LF",0.0199430849724289
121.6287488,17.120417,270,1815,56,1622,940,56,"LF",0.00615653647719325
125.1370821,6.1287503,266,1172,26,390,1344,67,"LF",0.00647241188425201
124.8454154,11.2037503,270,2303,31,726,2606,43,"LF",0.00151246972492007
124.3287487,7.2287503,274,2176,38,322,3893,16,"LF",0.00264291037935457
120.8704154,14.8287503,273,2364,92,1050,1086,7,"LF",0.00212456049529271
123.7537488,10.2787503,263,1773,32,647,111,154,"LF",0.00484349392230261
125.4537487,7.345417,247,2320,30,382,5455,476,"LF",0.0345118771552546
121.0537488,14.3620836,271,1922,78,1020,626,12,"LF",0.00181224221533599
125.9287487,7.495417,256,2362,21,434,271,70,"LF",0.00764520635068235
121.0287488,14.620417,271,2271,89,1088,1240,27,"LF",0.00205580519961088
124.7954154,7.3620837,261,2175,33,367,6064,150,"LF",0.00463331474382871
120.9037488,14.8287503,273,2364,92,1050,1251,7,"LF",0.0020626685461057
125.3370821,6.6370837,271,1695,28,366,3876,21,"LF",0.00354084164093225
123.9870821,10.5287503,260,1745,38,671,419,72,"LF",0.00280619930811503
120.6870821,18.1120836,267,2329,105,1319,988,31,"LF",0.0104022237686833
121.4870821,12.595417,272,2574,70,790,7374,20,"LF",0.00039212407217027
120.9204154,14.4370836,273,1855,88,1036,1277,7,"LF",0.00168289501425016
125.3454154,8.5287503,251,2780,14,688,5318,355,"LF",0.0139647446000706
123.2037488,13.6287503,270,2511,44,1063,684,11,"LF",0.00137905984259652
120.4620821,16.020417,274,1783,91,1089,588,14,"LF",0.00479395786550299
124.0287488,13.0287503,269,2867,46,909,7607,36,"LF",0.000541706218600479
125.9204154,8.595417,262,3756,39,753,709,63,"LF",0.00507781863376567
125.1287487,6.0620837,266,1170,25,352,3192,57,"LF",0.00465385420565231
123.6037488,10.1120837,268,1783,30,645,1009,157,"LF",0.00434818943319286
121.1204154,16.8037503,238,2049,53,1214,1065,532,"LF",0.0793920053363669
121.2537488,18.4370836,264,2405,52,1692,693,88,"LF",0.012522212108761
121.4400421,12.5222971,273,2670,72,766,8217,17,"LF",0.000332396379337382
121.4370821,13.1120837,270,2127,52,863,3404,8,"LF",0.000728826599980135
121.6704154,16.195417,241,2747,39,1306,390,284,"LF",0.0178012740363469
121.3287488,14.1537503,268,2047,56,1029,1391,49,"LF",0.00179854851975258
123.0120821,10.1370837,249,2405,48,562,374,117,"LF",0.00318851486015715
122.3370821,11.6370837,275,2789,44,759,2291,26,"LF",0.000990124671810945
122.1870821,16.4037503,263,3307,51,1539,4165,23,"LF",0.00202507645828325
123.7704154,7.9370837,272,3134,29,395,1605,18,"LF",0.00290170361297695
117.4454154,8.6787503,264,1693,50,582,511,18,"LF",0.000293688045301703
122.0620821,11.070417,272,3430,84,676,6522,11,"LF",0.000440759290549545
123.0370821,8.0537503,244,2800,38,344,5547,365,"LF",0.00922694026462475
124.2537487,8.0037503,233,2774,31,396,2916,793,"LF",0.129654589637338
123.4287488,10.8620837,274,1809,41,753,1255,39,"LF",0.00175687712670169
123.0704154,10.270417,270,2532,55,665,971,39,"LF",0.00183790210097199
120.0204154,16.0870836,271,2852,106,960,781,31,"LF",0.0058316991936368
121.0287488,13.7870836,270,1763,67,951,4891,25,"LF",0.000808509937349942
124.6704154,6.6787503,271,1841,39,325,5288,53,"LF",0.00300598370628798
121.6037488,14.2287503,252,2902,51,971,221,461,"LF",0.0231585518076526
121.0870821,14.6537503,269,2470,83,1109,420,32,"LF",0.00240913298817179
120.3620821,15.7120836,273,2140,87,1014,3921,24,"LF",0.00272492147290974
120.2787488,14.8287503,272,3378,115,898,661,10,"LF",0.00255326720295786
120.9870821,14.745417,272,2323,91,1086,336,12,"LF",0.00229993730192326
121.0037488,14.2870836,268,1983,74,974,801,185,"LF",0.00474323208627928
120.9620821,15.3120836,270,1951,82,1091,1235,25,"LF",0.00291302033765601
123.3454154,8.595417,273,2374,40,432,390,0,"LF",0.0023951874901045
123.0287488,10.8287503,270,2554,40,727,543,20,"LF",0.00159123134236135
121.2370821,12.5120837,251,2892,76,664,6567,424,"LF",0.00454955821284773
123.3454154,8.1537503,272,2767,32,382,1502,58,"LF",0.00309793873922359
121.0537488,14.3287503,268,1983,74,974,871,21,"LF",0.00181494696881958
126.5204154,7.420417,259,3062,56,446,612,31,"LF",0.00621877476694653
123.5954154,8.2537503,194,2824,33,370,1599,1419,"LF",0.237980187512969
122.2954154,13.795417,266,2456,51,998,4701,58,"LF",0.00103812531673684
121.0370821,14.720417,270,2503,89,1094,143,41,"LF",0.00275252789602884
124.4537487,6.4620837,234,2197,32,362,513,660,"LF",0.114917537455826
121.0704154,14.770417,269,2641,86,1086,549,75,"LF",0.00323203095544592
122.9537488,9.8620837,243,2421,48,502,1725,614,"LF",0.0431613882862213
120.9620821,14.945417,271,2477,86,1060,676,30,"LF",0.00270259152586601
125.0787487,11.870417,262,3038,31,798,751,99,"LF",0.00235810048639321
120.9537488,14.2120836,253,2332,75,821,1909,340,"LF",0.00963049611958334
120.9537488,14.3287503,263,2095,80,927,290,94,"LF",0.00307256266721207
120.8787488,18.1620836,240,2966,56,1283,2213,619,"LF",0.130498729569162
120.5704154,15.970417,273,1740,86,1077,832,28,"LF",0.00477991096614903
120.6870821,17.6787503,262,2475,100,1228,2446,88,"LF",0.0103708717222301
121.4620821,16.0370836,236,2519,40,1152,633,427,"LF",0.0371212764909555
121.0954154,14.5870836,269,2470,83,1109,1287,9,"LF",0.00179058257008674
121.1620821,13.9287503,256,2095,61,866,1205,304,"LF",0.00755149893564687
121.1954154,14.4870836,271,2223,69,1085,1353,43,"LF",0.00204409565367993
121.2954154,14.520417,264,2706,61,1064,2070,91,"LF",0.00245501054040832
123.5037488,10.1120837,267,1836,32,632,866,26,"LF",0.00200748793732855
121.3620821,13.945417,269,1935,54,1000,1597,57,"LF",0.00167875600420226
125.6120821,7.0620837,270,1879,25,414,353,5,"LF",0.0054142179723957
121.4037488,14.245417,270,2169,56,1095,1458,20,"LF",0.00155294166802249
122.6370821,11.095417,271,2218,43,726,911,37,"LF",0.00144320095113637
121.0204154,14.6620836,271,2271,89,1088,905,26,"LF",0.00219389693059069
120.6454154,15.0037503,272,2223,93,1002,788,13,"LF",0.00261967560527626
120.5870821,14.5537503,273,2773,105,945,1347,31,"LF",0.00213584299296474
122.1537488,11.795417,273,3910,51,723,1729,12,"LF",0.00094063277494285
120.1287488,15.4537503,206,3204,103,715,5303,1050,"LF",0.192582039168682
121.4370821,14.1287503,250,2600,51,914,1678,271,"LF",0.00625869607232982
120.8870821,15.8787503,267,1801,79,1123,12505,138,"LF",0.0014639644883468
125.0537487,8.795417,231,2607,18,565,680,468,"LF",0.0428981618445128
120.6954154,17.1287503,248,2418,90,1123,795,310,"LF",0.0362930014178775
121.4870821,16.3620836,239,2259,41,1253,3881,572,"LF",0.0559118768029418
122.1204154,7.0037503,257,1741,45,258,6480,188,"LF",0.00194130944164091
125.3954154,6.145417,252,1464,20,375,2234,587,"LF",0.0880125604622066
122.8704154,14.1037503,267,3577,53,1049,3477,39,"LF",0.00116518085901351
125.4537487,7.1787503,259,2132,31,412,1223,191,"LF",0.0133800426694703
126.3037487,7.720417,251,3324,51,460,202,114,"LF",0.00965161201891423
123.8787488,10.3120837,272,1655,33,674,1470,33,"LF",0.00197566459772396
124.5787487,7.1620837,273,1979,29,339,5449,40,"LF",0.00259341135850916
120.9204154,14.420417,273,1855,88,1036,1905,12,"LF",0.00156747026077339
124.6537487,6.5370837,268,1857,37,329,2846,93,"LF",0.00541322220952793
121.0037488,14.6287503,271,2271,89,1088,962,15,"LF",0.00200988410839532
122.8704154,10.195417,272,2387,62,661,2003,7,"LF",0.00123547988798845
120.9537488,13.495417,260,2069,61,807,13961,28,"LF",0.000191568430286118
